File: 제22대국회 제418회(정기회) 제12차 과학기술정보방송통신위원회(전체회 | Keyword: 그리 | Count: 26
File: 제22대국회 제418회(정기회) 제12차 과학기술정보방송통신위원회(전체회 | Keyword: 이렇 | Count: 16
File: 제22대국회 제418회(정기회) 제12차 과학기술정보방송통신위원회(전체회 | Keyword: 필요 | Count: 11
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(과학기술 | Keyword: 대표발 | Count: 29
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(과학기술 | Keyword: 그리 | Count: 29
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(과학기술 | Keyword: 필요 | Count: 19
File: 제22대국회 제418회(정기회) 제2차 과학기술정보방송통신위원회(과학기술 | Keyword: 이렇 | Count: 12
File: 제22대국회 제418회(정기회) 제13차 과학기술정보방송통신위원회(전체회 | Keyword: 그리 | Count: 33
File: 제22대국회 제418회(정기회) 제13차 과학기술정보방송통신위원회(전체회 | Keyword: 필요 | Count: 19
File: 제22대국회 제418회(정기회) 제13차 과학기술정보방송통신위원회(전체회 | Keyword: 대표발 | Count: 14
File: 제22대국회 제418회(정기회) 제13차 과학기술정보방송통신위원회(전체회 | Keyword: 이렇 | Count: 14
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(예산결산 | Keyword: 그리 | Count: 29
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(예산결산 | Keyword: 필요 | Count: 23
File: 제22대국회 제418회(정기회) 제3차 과학기술정보방송통신위원회(예산결산 | Keyword: 이렇 | Count: 11
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(예산결산 | Keyword: 그리 | Count: 36
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(예산결산 | Keyword: 필요 | Count: 19
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(예산결산 | Keyword: 이훈 | Count: 14
File: 제22대국회 제418회(정기회) 제4차 과학기술정보방송통신위원회(예산결산 | Keyword: 그다음 | Count: 13
File: 제22대국회 제418회(정기회) 제14차 과학기술정보방송통신위원회(전체회 | Keyword: 국민 | Count: 17
File: 제22대국회 제418회(정기회) 제14차 과학기술정보방송통신위원회(전체회 | Keyword: 그리 | Count: 16
File: 제22대국회 제418회(정기회) 제14차 과학기술정보방송통신위원회(전체회 | Keyword: 이렇 | Count: 12
